book_id,original_title,original_author,matched_book_title,matched_seq_name,matched_first_name,matched_last_name,relevance_title,relevance_author
710839,Мастер…,Валерий Чащин,Мастер...,Мастер (Чащин),Валерий,Чащин,15.848573,30.963942
591772,Эра Огня 5. Мятежное пламя,Василий Криптонов,Мятежное пламя,Эра Огня,Василий,Криптонов,49.791401,20.213428
697716,Приручитель 1,Евгений Лисицин,Приручитель. Книга 1,Приручитель,Евгений,Лисицин,64.459892,21.523775
623683,Я убил Бессмертного. Том 3,Оро Призывающий,Я убил Бессмертного. Том 2,Плутающий,Оро,Призывающий,34.043831,32.541306
752929,Проклятие Усердия,Евгений Нетт,Проклятие Усердия. Том 1,Маг? Вирфорт? Или ...?,Евгений,Нетт,36.888203,20.842009
706796,Думер,Игорь Нокс,Думер,Как я прыгал между мирами,Игорь,Нокс,32.229946,19.793274
700905,Путь Орла. Книга 4. Брошенный во времени,Алексей Имп,Брошенный во времени,Путь Орла,Алексей,Имп,48.610023,26.19072
602740,Последний из рода Саламандр,Игорь Углов,Последний из рода Саламандр,Стихийный Мир [Углов],Игорь,Углов,40.51897,23.626472
647543,"Похоже, я шизофреник, пожирающий магию. Том 1",Николай Новиков,"Похоже, я шизофреник, пожирающий магию. Том 1. Том 2","Похоже, я шизофреник",Николай,Новиков,149.447556,15.026099
96433,Эпилог Цивилизации. Том 4. Империя,Макс Вальтер,Квест империя,Квест империя,Макс,Мах,13.711375,7.662497
717812,Валет,Николай Марчук,Валет,Валет,Николай,Марчук,36.053272,20.183735
717812,Валет,Николай Марчук,Валет,Валет,Николай,Марчук,36.053272,20.183735
647543,"Похоже, я шизофреник, пожирающий магию. Том 2",Николай Новиков,"Похоже, я шизофреник, пожирающий магию. Том 1. Том 2","Похоже, я шизофреник",Николай,Новиков,149.447556,15.026099
623683,Я убил Бессмертного. Том 2,Оро Призывающий,Я убил Бессмертного. Том 2,Плутающий,Оро,Призывающий,34.043831,32.541306
623683,Я убил Бессмертного. Том 1,Оро Призывающий,Я убил Бессмертного. Том 2,Плутающий,Оро,Призывающий,34.043831,32.541306
659683,Последний из рода Саламандр – 3. Демоны и эльфы,Игорь Углов,Последний из рода Саламандр. Демоны и эльфы,Стихийный Мир [Углов],Игорь,Углов,63.404205,23.626472
612102,Последний из рода Саламандр – 2. Земли Адохира,Игорь Углов,Последний из рода Саламандр. Земли Адохира,Стихийный Мир [Углов],Игорь,Углов,79.290009,23.626472
746648,Филолог. Магия Слова,Владимир Батаев,Круглоухая магия,Круглоухая магия,Владимир,Батаев,10.139478,19.974396
752929,Проклятие Усердия. Том 2,Евгений Нетт,Проклятие Усердия. Том 1,Маг? Вирфорт? Или ...?,Евгений,Нетт,39.0494,20.842009
682901,Крысиный бег – 2,Антонио Морале,Крысиный бег #1,Крысиный бег,Антонио,Морале,69.551025,36.934631
602740,Последний из рода Салмандр – 3,Игорь Углов,Последний из рода Саламандр,Стихийный Мир [Углов],Игорь,Углов,16.518858,23.626472
699883,Смертник из рода Валевских. Книга 2,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
602740,Последний из рода Саламандр – 2,Игорь Углов,Последний из рода Саламандр,Стихийный Мир [Углов],Игорь,Углов,40.51897,23.626472
602740,Последний из рода Саламандр,Игорь Углов,Последний из рода Саламандр,Стихийный Мир [Углов],Игорь,Углов,40.51897,23.626472
623683,Я убил Бессмертного. Том 4,Оро Призывающий,Я убил Бессмертного. Том 2,Плутающий,Оро,Призывающий,34.043831,32.541306
692969,Бард 2,Евгений Лисицин,Бард 1,"Бард [Карелин, Лисицин]",Евгений,Лисицин,30.182575,21.523775
623683,Я убил Бессмертного. Том 5,Оро Призывающий,Я убил Бессмертного. Том 2,Плутающий,Оро,Призывающий,34.043831,32.541306
697716,Приручитель 2,Евгений Лисицин,Приручитель. Книга 1,Приручитель,Евгений,Лисицин,64.459892,21.523775
728183,Проект Re. Том 2,Emory Faded,Проект Re: Четвертый том,Мир утраченных надежд,Emory,Faded,7.804012,49.756573
345996,АТК: Начало,Семён Павлов,Начало.,Сборник рассказов,Семен,Рудяк,7.851658,8.970009
697716,Приручитель 4,Евгений Лисицин,Приручитель. Книга 1,Приручитель,Евгений,Лисицин,64.459892,21.523775
697716,Приручитель 3,Евгений Лисицин,Приручитель. Книга 1,Приручитель,Евгений,Лисицин,64.459892,21.523775
749871,Наследие Маозари 2,Евгений Панежин,Наследие Маозари 2,Наследие Маозари,Евгений,Панежин,73.476158,32.662289
749871,Наследие Маозари,Евгений Панежин,Наследие Маозари 2,Наследие Маозари,Евгений,Панежин,73.476158,32.662289
150126,Мир 404,Илья Крымский,"Мир приключений, 1957 (№3)",Альманах «Мир приключений»,Илья,Зверев,5.439599,5.429845
728183,Проект Re. Том 3,Emory Faded,Проект Re: Четвертый том,Мир утраченных надежд,Emory,Faded,7.804012,49.756573
728183,Проект Re. Том 4,Emory Faded,Проект Re: Четвертый том,Мир утраченных надежд,Emory,Faded,7.804012,49.756573
619920,Не та прокачка 3,Максим Смогов,Не та прокачка 2,Астральное безумие,Максим,Смогов,27.040218,32.986961
150126,Мир 404,Илья Крымский,"Мир приключений, 1957 (№3)",Альманах «Мир приключений»,Илья,Зверев,5.439599,5.429845
750959,Ярар. Начало,Тимофей Грехов,Ярар. Начало,Ярар,Тимофей,Грехов,57.416058,33.288498
687419,Архонты,Гордей Климов,Архонты,Архонты,Гордей,Климов,57.805168,43.783096
687419,Архонты 2,Гордей Климов,Архонты,Архонты,Гордей,Климов,57.805168,43.783096
314134,Интриган. Новый Петербург,Сергей Чехин,Петербург экскурсионный. Рекомендации по проведению экскурсий,Петербург экскурсионный,Сергей,Шишков,23.794729,2.531949
619920,Не та прокачка 3,Максим Смогов,Не та прокачка 2,Астральное безумие,Максим,Смогов,27.040218,32.986961
725501,Коллекционер душ. Книга 5,Михаил Липарк,Коллекционер душ. Книга 1,"Короче, я попал!",Михаил,Липарк,28.560061,23.756477
726037,Наследник Бога. Книга I,Валерий Лашманов,Наследник Бога. Книга I,Наследник Бога,Валерий,Лашманов,38.672169,26.697657
687419,Архонты 2,Гордей Климов,Архонты,Архонты,Гордей,Климов,57.805168,43.783096
681608,Крылья Мальгуса. Ступень первая,Инди Видум,Ступень первая,Крылья Мальгуса,Инди,Видум,53.522221,46.697304
546604,Дарксайдерс. Заговор чёрных слуг,Дмитрий Коваленко,ЦРУ протв Индии. Заговор американского империализма,"Империализм: события, факты, документы",Дмитрий,Великий,10.577199,3.54465
658747,Космическая сага. Альфа Центавра. Книга вторая,Дмитрий Найденов,Альфа Центавра,Космическая сага [Найденов],Дмитрий,Найденов,49.051899,20.626951
709142,Сиреневая госпожа поместья Лундун. Том 1,Ксения Винтер,Сиреневая госпожа поместья Лундун,Сиреневая госпожа поместья Лундун,Ксения,Винтер,181.740021,23.810062
532431,Дракон для девушки. От ненависти до вечной любви,Руслан Ушаков,Белый лебедь и Небесный дракон (СИ),Мортенвальд,Руслан,Локтев,7.403699,8.578773
635880,Тейлитэ-2. Меч Баа Ци,Алексей Тырышкин,Меч Баа Ци,Тейлитэ,Алексей,Тырышкин,68.818878,29.155603
491912,Рунное наследие 2. Кровная месть,Денис Мамонов,Право на месть,Вселенная «Метро 2033»,Денис,Шабалов,8.023992,8.048775
699883,Смертник из рода Валевских. Книга 4,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
571283,Камень,Станислав Минин,Камень. Книга 2,Камень,Станислав,Минин,18.161657,23.96867
722490,Ушедшие. Родовые земли. Книга третья,Дмитрий Найденов,Родовые земли,Ушедшие,Дмитрий,Найденов,59.030502,20.626951
555650,Берсерк забытого клана. Архидемоны и маги,Алекс Нагорный,Архидемоны и маги,Берсерк забытого клана,Алекс,Нагорный,78.776894,22.410038
626197,Якудза из другого мира,Алексей Калинин,Якудза из другого мира. Том II,Якудза из другого мира,Алексей,Калинин,71.486389,15.845385
626197,Якудза из другого мира 2,Алексей Калинин,Якудза из другого мира. Том II,Якудза из другого мира,Алексей,Калинин,71.486389,15.845385
709476,Ушедшие. Пограничная зона. Книга четвёртая,Дмитрий Найденов,Пограничная зона,Ушедшие,Дмитрий,Найденов,44.191975,20.626951
726037,Наследник Бога. Книга II,Валерий Лашманов,Наследник Бога. Книга I,Наследник Бога,Валерий,Лашманов,38.672169,26.697657
726037,Наследник Бога. Книга I,Валерий Лашманов,Наследник Бога. Книга I,Наследник Бога,Валерий,Лашманов,38.672169,26.697657
621758,Кальдур Живой Доспех,Рост Толбери,Кальдур Живой Доспех,Кальдур Живой Доспех,Рост,Толбери,106.30127,41.749634
421197,Киберклан 90.200.10. Книга 1: Сабаи,Дмитрий Чадов,Школа жизни. Честная книга: любовь — друзья — учителя — жесть,Народная книга,Дмитрий,Быков,5.001748,3.54465
619920,Не та прокачка,Максим Смогов,Не та прокачка 2,Астральное безумие,Максим,Смогов,27.040218,32.986961
679388,Легенда о драгниле и Сладкой Жрице,Инна Федералова,Сласти-мордасти. Потрясающие истории любви и восхитительные рецепты сладкой выпечки,Есть. Читать. Любить,Инна,Метельская-Шереметьева,21.141247,9.155854
731898,Монстр (не)ищет любовь,Инна Федералова,"Любовь — не боль. Здоровая любовь к себе, партнеру, родителям и детям",Психология для жизни,Инна,Литвиненко,8.166914,9.155854
382915,Драгнил Тиша. Грязная история,Инна Федералова,Ева. История тетушки Исси (СИ),Ева,Инна,Георгиева,2.945655,9.155854
699883,Смертник из рода Валевских. Книга 1,Василий Маханенко,Смертник из рода Валевских #01,Смертник из рода Валевских,Василий,Маханенко,99.631706,19.306141
731898,Монстр (не)ищет любовь,Инна Федералова,"Любовь — не боль. Здоровая любовь к себе, партнеру, родителям и детям",Психология для жизни,Инна,Литвиненко,8.166914,9.155854
682151,Возрождение Феникса. Книга 1,Григорий Володин,Возрождение Феникса. Том 2,Возрождение Феникса,Григорий,Володин,47.133778,23.516369
202317,Цветок для неверной,Инна Федералова,"Ведьма для царевича, или От прошлого не убежишь",Ведьма для царевича или от прошлого не убежишь,Инна,Георгиева,4.972201,9.155854
679388,Драгнилы. Культ Сладкой жрицы,Инна Федералова,Сласти-мордасти. Потрясающие истории любви и восхитительные рецепты сладкой выпечки,Есть. Читать. Любить,Инна,Метельская-Шереметьева,21.141247,9.155854
504228,Самый быстрый,Сергей Савинов,Быстрый испанский,Быстрый испанский,Сергей,Матвеев,37.57959,2.531949
748112,Истинный князь,Дмитрий Шелег,Истинный князь,Фантастический боевик,Дмитрий,Шелег,23.771366,18.37537
679388,Легенда о драгниле и Сладкой Жрице,Инна Федералова,Сласти-мордасти. Потрясающие истории любви и восхитительные рецепты сладкой выпечки,Есть. Читать. Любить,Инна,Метельская-Шереметьева,21.141247,9.155854
619578,Перст судьбы,Александр Федотов,Перст судьбы,Попаданцы - ЛФР,Александр,Федотов,23.714174,14.293303
706396,Соболев. Пробуждение дара,Аристарх Риддер,Пробуждение Дара,Соболев,Аристарх,Риддер,55.763538,32.252617
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
750284,Волков. Гимназия №6,Валерий Пылаев,Гимназия №6,Волков (Пылаев),Валерий,Пылаев,36.166714,23.373566
